

id,timestamp,type,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V395313717,1776598476147.759,inbound-rtp,video,video,395313717,T01,0,0,2,0,0,2122,0,0,0,0,0,0,96,0,0,0,0,0,1776598476116.57,0,0,0,0,0,0,0,0,0,0,0,0074e08e-8a7f-4f99-be0a-a37181ce3124,1
IT01V395313717,1776598476147.759,inbound-rtp,video,video,395313717,T01,0,0,2,0,0,2122,0,0,0,0,0,0,96,0,0,0,0,0,1776598476116.57,0,0,0,0,0,0,0,0,0,0,0,0074e08e-8a7f-4f99-be0a-a37181ce3124,1
IT01V395313717,1776598476348.418,inbound-rtp,video,video,395313717,T01,0.003,0,6,0,0,5953,0,1,1,0,2,0,244,0.067953,1,0.011040999999999999,0.011040999999999999,1,1776598476342.839,0,0,0,0,0.067874,0.082116,0,0,0,0.153864,0,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476348.418,inbound-rtp,video,video,395313717,T01,0.003,0,6,0,0,5953,0,1,1,0,2,0,244,0.067953,1,0.011040999999999999,0.011040999999999999,1,1776598476342.839,0,0,0,0,0.067874,0.082116,0,0,0,0.153864,0,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476547.943,inbound-rtp,video,video,395313717,T01,0.018,0,11,0,0,11156,0,3,3,0,4,0,424,0.206041,3,0.033309,0.033309,1,1776598476538.22,0,0,0,0,0.180196,0.101058,0,0.205,0,0.311359,0.021124999999999998,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476547.943,inbound-rtp,video,video,395313717,T01,0.018,0,11,0,0,11156,0,3,3,0,4,0,424,0.206041,3,0.033309,0.033309,1,1776598476538.22,0,0,0,0,0.180196,0.101058,0,0.205,0,0.311359,0.021124999999999998,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476747.566,inbound-rtp,video,video,395313717,T01,0.02,0,13,0,0,13343,0,5,5,0,5,0,496,0.286182,5,0.085016,0.085016,1,1776598476657.957,0,0,0,0,0.230484,0.11835899999999999,0,0.408,0,0.40912499999999996,0.041909999999999996,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476747.566,inbound-rtp,video,video,395313717,T01,0.02,0,13,0,0,13343,0,5,5,0,5,0,496,0.286182,5,0.085016,0.085016,1,1776598476657.957,0,0,0,0,0.230484,0.11835899999999999,0,0.408,0,0.40912499999999996,0.041909999999999996,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476947.781,inbound-rtp,video,video,395313717,T01,0.018,0,16,0,0,15905,0,6,6,0,6,0,604,0.33658699999999997,6,0.137254,0.137254,1,1776598476875.152,0,0,0,0,0.28079899999999997,0.128382,0,0.616,0,0.46976199999999996,0.085174,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
IT01V395313717,1776598476947.781,inbound-rtp,video,video,395313717,T01,0.018,0,16,0,0,15905,0,6,6,0,6,0,604,0.33658699999999997,6,0.137254,0.137254,1,1776598476875.152,0,0,0,0,0.28079899999999997,0.128382,0,0.616,0,0.46976199999999996,0.085174,0074e08e-8a7f-4f99-be0a-a37181ce3124,270
