id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V3570776945,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3570776945,T01,0,0,true,0,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1250553859,0,0,0
OT01V600658372,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,600658372,T01,0,0,true,1,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2498630235,0,0,0
OT01V753920854,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,753920854,T01,0,0,true,2,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2788841858,0,0,0
OT01V3570776945,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3570776945,T01,0,0,true,0,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1250553859,0,0,0
OT01V600658372,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,600658372,T01,0,0,true,1,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2498630235,0,0,0
OT01V753920854,1776594962529.882,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,753920854,T01,0,0,true,2,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2788841858,0,0,0
OT01V3570776945,1776594962729.819,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3570776945,T01,8880,10,true,0,0,2,2,611,1,1,SV14,0,0,0,1,[object Object],bandwidth,0,0,0,r0,1250553859,0.154,0,0.10573199999999999
OT01V600658372,1776594962729.819,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,600658372,T01,0,0,true,1,0,0,0,0,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2498630235,0,0,0
OT01V753920854,1776594962729.819,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,753920854,T01,0,1,true,2,0,0,0,283,0,0,SV14,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2788841858,0,0,0
OT01V3570776945,1776594962729.819,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3570776945,T01,8880,10,true,0,0,2,2,611,1,1,SV14,0,0,0,1,[object Object],bandwidth,0,0,0,r0,1250553859,0.154,0,0.10573199999999999
