id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1651729253,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,8343,10,true,0,0,270,480,4,37,4,547,1,1,SV137,0,0,0,0,783,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.151,0,0.110846
OT01V2496162411,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,8343,10,true,0,0,270,480,4,37,4,547,1,1,SV137,0,0,0,0,783,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.151,0,0.110846
OT01V2496162411,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077210.283,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,12623,15,true,0,0,270,480,9,29,9,687,1,2,SV137,0,0,0,1,1793,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.24,0,0.619803
OT01V2496162411,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,12623,15,true,0,0,270,480,9,29,9,687,1,2,SV137,0,0,0,1,1793,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.24,0,0.619803
OT01V2496162411,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077410.255,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,20697,24,true,0,0,270,480,15,29,15,943,1,2,SV137,0,0,0,1,3002,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.342,0,2.3591919999999997
OT01V2496162411,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,20697,24,true,0,0,270,480,15,29,15,943,1,2,SV137,0,0,0,1,3002,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.342,0,2.3591919999999997
OT01V2496162411,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077610.505,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,28808,35,true,0,0,270,480,20,28,20,1227,1,2,SV137,0,0,0,1,4032,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.419,0,3.799574
OT01V2496162411,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,28808,35,true,0,0,270,480,20,28,20,1227,1,2,SV137,0,0,0,1,4032,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.419,0,3.799574
OT01V2496162411,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599077810.534,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,34368,44,true,0,0,270,480,25,27,25,1443,1,2,SV137,0,0,0,1,5047,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.5,0,4.033062999999999
OT01V2496162411,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,34368,44,true,0,0,270,480,25,27,25,1443,1,2,SV137,0,0,0,1,5047,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,214166,0.5,0,4.033062999999999
OT01V2496162411,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599078010.459,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
OT01V1651729253,1776599078210.403,outbound-rtp,COT01_98_profile-id=0,video,video,1651729253,T01,39562,54,true,0,0,270,480,31,28,31,2193,1,2,SV137,0,0,0,1,6271,[object Object],bandwidth,0,0,0,r0,1969608071,L1T3,173882,0.604,0,4.033075
OT01V2496162411,1776599078210.403,outbound-rtp,COT01_98_profile-id=0,video,video,2496162411,T01,0,0,true,1,0,,,0,,0,0,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,1712583422,,,0,0,0
OT01V995796392,1776599078210.403,outbound-rtp,COT01_98_profile-id=0,video,video,995796392,T01,0,1,true,2,0,,,0,,0,283,0,0,SV137,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1822637613,,,0,0,0
