id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V764202288,1776599980273.733,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,8844,12,true,0,0,270,480,2,20,2,1101,1,1,SV164,0,0,0,0,375,[object Object],bandwidth,0,0,0,3545581341,S3T3,214167,0.117,0,0.240417
OT01V764202288,1776599980273.733,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,8844,12,true,0,0,270,480,2,20,2,1101,1,1,SV164,0,0,0,0,375,[object Object],bandwidth,0,0,0,3545581341,S3T3,214167,0.117,0,0.240417
OT01V764202288,1776599980473.754,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,83273,82,true,0,0,1080,1920,13,23,13,3571,7,7,SV164,0,0,0,1,2593,[object Object],none,1,0,0,3545581341,S3T3,214167,0.496,0,1.640722
OT01V764202288,1776599980473.754,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,83273,82,true,0,0,1080,1920,13,23,13,3571,7,7,SV164,0,0,0,1,2593,[object Object],none,1,0,0,3545581341,S3T3,214167,0.496,0,1.640722
OT01V764202288,1776599980673.709,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,234619,220,true,0,0,1080,1920,27,26,27,7407,9,7,SV164,0,0,0,1,5367,[object Object],none,1,0,0,3545581341,S3T3,214167,0.804,0,9.798466
OT01V764202288,1776599980673.709,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,234619,220,true,0,0,1080,1920,27,26,27,7407,9,7,SV164,0,0,0,1,5367,[object Object],none,1,0,0,3545581341,S3T3,214167,0.804,0,9.798466
OT01V764202288,1776599980873.723,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,280978,269,true,0,0,1080,1920,43,27,43,8583,9,7,SV164,0,0,0,1,8610,[object Object],none,1,0,0,3545581341,S3T3,214167,1.141,0,9.79851
OT01V764202288,1776599980873.723,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,280978,269,true,0,0,1080,1920,43,27,43,8583,9,7,SV164,0,0,0,1,8610,[object Object],none,1,0,0,3545581341,S3T3,214167,1.141,0,9.79851
OT01V764202288,1776599981073.64,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,348089,335,true,0,0,1080,1920,61,27,61,10167,9,7,SV164,0,0,0,1,12268,[object Object],none,1,0,0,3545581341,S3T3,248801,1.574,0,9.798563999999999
OT01V764202288,1776599981073.64,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,348089,335,true,0,0,1080,1920,61,27,61,10167,9,7,SV164,0,0,0,1,12268,[object Object],none,1,0,0,3545581341,S3T3,248801,1.574,0,9.798563999999999
OT01V764202288,1776599981273.694,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,390841,378,true,0,0,1080,1920,78,29,78,11199,9,7,SV164,0,0,0,1,15709,[object Object],none,1,0,0,3545581341,S3T3,248801,1.902,0,9.798608
OT01V764202288,1776599981273.694,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,390841,378,true,0,0,1080,1920,78,29,78,11199,9,7,SV164,0,0,0,1,15709,[object Object],none,1,0,0,3545581341,S3T3,248801,1.902,0,9.798608
OT01V764202288,1776599981473.68,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,467600,453,true,0,0,1080,1920,94,30,94,12999,9,7,SV164,0,0,0,1,18971,[object Object],none,1,0,0,3545581341,S3T3,248801,2.208,0,9.79867
