

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V763418697,1776600181962.993,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0,0,5,0,0,5225,0,0,0,0,1,0,164,0.10107,1,0.011073,0.011073,1,1776600181921.6301,0,0,0,0,763418698,0,0,0,0,0,0,0,8e36adb3-05b4-40c6-ac91-f0e6344f008a,1
IT01V763418697,1776600181962.993,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0,0,5,0,0,5225,0,0,0,0,1,0,164,0.10107,1,0.011073,0.011073,1,1776600181921.6301,0,0,0,0,763418698,0,0,0,0,0,0,0,8e36adb3-05b4-40c6-ac91-f0e6344f008a,1
IT01V763418697,1776600182162.941,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.009,0,9,0,0,9464,0,3,3,0,3,0,292,0.11024199999999999,3,0.033405,0.033405,1,1776600182131.539,0,0,0,0,763418698,0.102285,0.122997,0,0.114,0,0.23721199999999998,0.012548000000000002,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182162.941,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.009,0,9,0,0,9464,0,3,3,0,3,0,292,0.11024199999999999,3,0.033405,0.033405,1,1776600182131.539,0,0,0,0,763418698,0.102285,0.122997,0,0.114,0,0.23721199999999998,0.012548000000000002,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182363.29,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.014,0,13,0,0,12334,0,5,5,0,5,0,420,0.129998,5,0.09432399999999999,0.09432399999999999,1,1776600182302.305,0,0,0,0,763418698,0.10235799999999999,0.139653,0,0.286,0,0.274024,0.027468,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182363.29,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.014,0,13,0,0,12334,0,5,5,0,5,0,420,0.129998,5,0.09432399999999999,0.09432399999999999,1,1776600182302.305,0,0,0,0,763418698,0.10235799999999999,0.139653,0,0.286,0,0.274024,0.027468,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182562.958,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.013,0,15,0,0,13764,0,6,6,0,6,0,484,0.130113,6,0.13927,0.13927,1,1776600182443.412,0,0,0,0,763418698,0.102408,0.14979199999999998,0,0.422,0,0.28493599999999997,0.045964000000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182562.958,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.013,0,15,0,0,13764,0,6,6,0,6,0,484,0.130113,6,0.13927,0.13927,1,1776600182443.412,0,0,0,0,763418698,0.102408,0.14979199999999998,0,0.422,0,0.28493599999999997,0.045964000000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182763.036,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.011,0,21,0,0,18075,0,8,9,1,9,0,676,0.141478,9,0.245639,0.245639,1,1776600182738.074,0,0,0,0,763418698,0.10248399999999999,0.175197,0,0.721,0,0.32207199999999997,0.08349300000000001,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600182763.036,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.011,0,21,0,0,18075,0,8,9,1,9,0,676,0.141478,9,0.245639,0.245639,1,1776600182738.074,0,0,0,0,763418698,0.10248399999999999,0.175197,0,0.721,0,0.32207199999999997,0.08349300000000001,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
