

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V532858745,1776600248837.82,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0,0,4,0,0,4158,0,0,0,0,1,0,132,0.052656999999999995,1,0.011056,0.011056,1,1776600248786.497,0,0,0,0,0,0,0,0,0,0,0,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,1
IT01V532858745,1776600248837.82,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0,0,4,0,0,4158,0,0,0,0,1,0,132,0.052656999999999995,1,0.011056,0.011056,1,1776600248786.497,0,0,0,0,0,0,0,0,0,0,0,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,1
IT01V532858745,1776600249037.695,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.004,0,6,0,0,6334,0,2,2,0,2,0,196,0.11433199999999999,2,0.022112,0.022112,1,1776600248938.479,0,0,0,0,0.104805,0.09815399999999999,0,0.074,0,0.215941,0.005475999999999999,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249037.695,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.004,0,6,0,0,6334,0,2,2,0,2,0,196,0.11433199999999999,2,0.022112,0.022112,1,1776600248938.479,0,0,0,0,0.104805,0.09815399999999999,0,0.074,0,0.215941,0.005475999999999999,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249237.541,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.015,0,10,0,0,10206,0,4,4,0,4,0,324,0.199908,4,0.049895999999999996,0.049895999999999996,1,1776600249175.386,0,0,0,0,0.162802,0.112747,0,0.311,0,0.316324,0.033601,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249237.541,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.015,0,10,0,0,10206,0,4,4,0,4,0,324,0.199908,4,0.049895999999999996,0.049895999999999996,1,1776600249175.386,0,0,0,0,0.162802,0.112747,0,0.311,0,0.316324,0.033601,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249437.897,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.016,0,14,0,0,13211,0,6,6,0,6,0,452,0.211801,6,0.11651299999999999,0.11651299999999999,1,1776600249412.652,0,0,0,0,0.162881,0.130862,0,0.541,0,0.34657899999999997,0.060122999999999996,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249437.897,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.016,0,14,0,0,13211,0,6,6,0,6,0,452,0.211801,6,0.11651299999999999,0.11651299999999999,1,1776600249412.652,0,0,0,0,0.162881,0.130862,0,0.541,0,0.34657899999999997,0.060122999999999996,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249637.501,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.016,0,16,0,0,14845,0,7,7,0,7,0,516,0.211921,7,0.152391,0.152391,1,1776600249554.528,0,0,0,0,0.16292299999999998,0.140379,0,0.684,0,0.35636199999999996,0.08057199999999999,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600249637.501,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.016,0,16,0,0,14845,0,7,7,0,7,0,516,0.211921,7,0.152391,0.152391,1,1776600249554.528,0,0,0,0,0.16292299999999998,0.140379,0,0.684,0,0.35636199999999996,0.08057199999999999,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
