id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2196301879,1776600281296.223,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,1956,2,true,0,0,270,480,1,1,56,1,1,SV173,0,0,0,0,189,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.066,0,0.002173
OT01V4021281234,1776600281296.223,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V2196301879,1776600281296.223,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,1956,2,true,0,0,270,480,1,1,56,1,1,SV173,0,0,0,0,189,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.066,0,0.002173
OT01V4021281234,1776600281296.223,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,8101,11,true,0,0,270,480,8,8,830,1,2,SV173,0,0,0,1,1586,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.202,0,0.10333099999999999
OT01V4021281234,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,8101,11,true,0,0,270,480,8,8,830,1,2,SV173,0,0,0,1,1586,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.202,0,0.10333099999999999
OT01V4021281234,1776600281496.19,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,16492,21,true,0,0,270,480,13,13,1114,1,2,SV173,0,0,0,1,2601,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.265,0,1.555148
OT01V4021281234,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,16492,21,true,0,0,270,480,13,13,1114,1,2,SV173,0,0,0,1,2601,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.265,0,1.555148
OT01V4021281234,1776600281696.365,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,25262,33,true,0,0,270,480,17,17,1434,1,2,SV173,0,0,0,1,3422,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.327,0,3.377774
OT01V4021281234,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,25262,33,true,0,0,270,480,17,17,1434,1,2,SV173,0,0,0,1,3422,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.327,0,3.377774
OT01V4021281234,1776600281896.209,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,30629,41,true,0,0,270,480,22,22,1626,1,2,SV173,0,0,0,1,4434,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.379,0,3.532075
OT01V4021281234,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,30629,41,true,0,0,270,480,22,22,1626,1,2,SV173,0,0,0,1,4434,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.379,0,3.532075
OT01V4021281234,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,35698,51,true,0,0,270,480,28,28,2376,1,2,SV173,0,0,0,1,5650,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.481,0,3.532085
