

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V297973901,1776600917802.325,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0,0,3,0,0,3148,0,0,0,0,1,0,136,0.059051,1,0.011040999999999999,0.011040999999999999,1,1776600917742.364,0,0,0,0,0,0,0,0,0,0,0,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,1
IT01V297973901,1776600917802.325,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0,0,3,0,0,3148,0,0,0,0,1,0,136,0.059051,1,0.011040999999999999,0.011040999999999999,1,1776600917742.364,0,0,0,0,0,0,0,0,0,0,0,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,1
IT01V297973901,1776600918002.773,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.01,0,7,0,0,7737,0,2,2,0,2,0,280,0.126309,2,0.022045,0.022045,1,1776600917859.985,0,0,0,0,0.116437,0.078981,0,0.056,0,0.208615,0.0031360000000000003,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918002.773,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.01,0,7,0,0,7737,0,2,2,0,2,0,280,0.126309,2,0.022045,0.022045,1,1776600917859.985,0,0,0,0,0.116437,0.078981,0,0.056,0,0.208615,0.0031360000000000003,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918202.096,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.016,0,14,0,0,13852,0,4,4,0,4,0,532,0.262774,4,0.030926,0.030926,1,1776600918193.404,0,0,0,0,0.252509,0.096316,0,0.383,0,0.362687,0.05956500000000001,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918202.096,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.016,0,14,0,0,13852,0,4,4,0,4,0,532,0.262774,4,0.030926,0.030926,1,1776600918193.404,0,0,0,0,0.252509,0.096316,0,0.383,0,0.362687,0.05956500000000001,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918402.591,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.022,0,16,0,0,15776,0,5,5,0,5,0,604,0.341764,5,0.057704,0.057704,1,1776600918297.997,0,0,0,0,0.305938,0.103875,0,0.512,0,0.44945599999999997,0.07620600000000001,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918402.591,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.022,0,16,0,0,15776,0,5,5,0,5,0,604,0.341764,5,0.057704,0.057704,1,1776600918297.997,0,0,0,0,0.305938,0.103875,0,0.512,0,0.44945599999999997,0.07620600000000001,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918602.719,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.024,0,23,0,0,22154,0,6,6,0,6,0,856,0.389117,6,0.080584,0.080584,1,1776600918598.206,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918602.719,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.024,0,23,0,0,22154,0,6,6,0,6,0,856,0.389117,6,0.080584,0.080584,1,1776600918598.206,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918802.418,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.026,0,31,0,0,29038,0,6,6,0,6,0,1144,0.389117,6,0.080584,0.080584,1,1776600918799.801,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600918802.418,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.026,0,31,0,0,29038,0,6,6,0,6,0,1144,0.389117,6,0.080584,0.080584,1,1776600918799.801,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919002.322,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.024,0,36,0,0,31634,0,6,6,0,6,0,1324,0.389117,6,0.080584,0.080584,1,1776600918979.854,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919002.322,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.024,0,36,0,0,31634,0,6,6,0,6,0,1324,0.389117,6,0.080584,0.080584,1,1776600918979.854,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919202.154,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.02,0,39,0,0,33025,0,6,6,0,6,0,1432,0.389117,6,0.080584,0.080584,1,1776600919108.031,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919202.154,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.02,0,39,0,0,33025,0,6,6,0,6,0,1432,0.389117,6,0.080584,0.080584,1,1776600919108.031,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919402.59,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.017,0,46,0,0,38327,0,6,6,0,6,0,1684,0.389117,6,0.080584,0.080584,1,1776600919376.218,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
IT01V297973901,1776600919402.59,inbound-rtp,CIT01_101_level-idx=5;profile=0;tier=0,video,video,297973901,T01,0.017,0,46,0,0,38327,0,6,6,0,6,0,1684,0.389117,6,0.080584,0.080584,1,1776600919376.218,0,0,0,0,0.34226599999999996,0.112214,0,0.655,0,0.505321,0.096655,5dd8c24c-5dce-4830-9d81-eec79ada4fb3,270
