id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V17946280,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,0,0,true,0,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r0,683711943,0,0,0
OT01V282681141,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,0,true,2,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,0,0,true,0,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r0,683711943,0,0,0
OT01V282681141,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605096965.902,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,0,true,2,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],none,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,8513,10,true,0,0,4,4,547,1,1,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r0,683711943,0.158,0,0.112596
OT01V282681141,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,8513,10,true,0,0,4,4,547,1,1,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r0,683711943,0.158,0,0.112596
OT01V282681141,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097165.965,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,14469,18,true,0,0,11,11,771,1,2,SV317,0,0,0,1,[object Object],bandwidth,0,0,0,r0,683711943,0.294,0,0.905828
OT01V282681141,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,14469,18,true,0,0,11,11,771,1,2,SV317,0,0,0,1,[object Object],bandwidth,0,0,0,r0,683711943,0.294,0,0.905828
OT01V282681141,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097366.11,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,20454,25,true,0,0,16,16,971,1,2,SV317,0,0,0,1,[object Object],bandwidth,0,0,0,r0,683711943,0.367,0,1.955023
OT01V282681141,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,20454,25,true,0,0,16,16,971,1,2,SV317,0,0,0,1,[object Object],bandwidth,0,0,0,r0,683711943,0.367,0,1.955023
OT01V282681141,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,282681141,T01,0,0,true,1,0,0,0,0,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2854746970,0,0,0
OT01V3168989734,1776605097566.032,outbound-rtp,COT01_98_profile-id=0,video,video,3168989734,T01,0,1,true,2,0,0,0,283,0,0,SV317,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2393602765,0,0,0
OT01V17946280,1776605097765.929,outbound-rtp,COT01_98_profile-id=0,video,video,17946280,T01,28971,37,true,0,0,21,21,1271,1,2,SV317,0,0,0,1,[object Object],bandwidth,0,0,0,r0,683711943,0.441,0,2.624711
