id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1252391198,1776331385601.202,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,0,0,true,0,0,0,0,0,0,0,SV1,0,0,0,0,[object Object],bandwidth,0,0,0,1446016906,0,0,0
OT01V1252391198,1776331385601.202,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,0,0,true,0,0,0,0,0,0,0,SV1,0,0,0,0,[object Object],bandwidth,0,0,0,1446016906,0,0,0
OT01V1252391198,1776331385801.184,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,8965,13,true,0,0,6,6,1265,1,1,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.12,0,0.30757799999999996
OT01V1252391198,1776331385801.184,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,8965,13,true,0,0,6,6,1265,1,1,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.12,0,0.30757799999999996
OT01V1252391198,1776331386001.291,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,14648,21,true,0,0,10,10,1625,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.176,0,1.425358
OT01V1252391198,1776331386001.291,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,14648,21,true,0,0,10,10,1625,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.176,0,1.425358
OT01V1252391198,1776331386201.202,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,20626,29,true,0,0,14,14,1897,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.243,0,2.821288
OT01V1252391198,1776331386201.202,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,20626,29,true,0,0,14,14,1897,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.243,0,2.821288
OT01V1252391198,1776331386401.276,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,27582,40,true,0,0,19,19,2257,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.328,0,3.122734
OT01V1252391198,1776331386401.276,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1252391198,T01,27582,40,true,0,0,19,19,2257,2,2,SV1,0,0,0,1,[object Object],bandwidth,0,0,0,1446016906,0.328,0,3.122734
