

id,timestamp,type,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V228380047,1776336209928.645,inbound-rtp,video,video,228380047,T01,0,0,5,0,0,5327,0,0,0,0,0,0,160,0,0,0,0,0,1776336209923.69,0,0,0,0,228380048,0,0,0,0,0,0,0,9ea13f35-e677-4301-acbc-0f9e96b63738,1
IT01V228380047,1776336209928.645,inbound-rtp,video,video,228380047,T01,0,0,5,0,0,5327,0,0,0,0,0,0,160,0,0,0,0,0,1776336209923.69,0,0,0,0,228380048,0,0,0,0,0,0,0,9ea13f35-e677-4301-acbc-0f9e96b63738,1
IT01V228380047,1776336210128.336,inbound-rtp,video,video,228380047,T01,0.003,0,15,0,0,14942,0,3,3,0,3,0,488,0.06818199999999999,3,0.033255,0.033255,2,1776336210078.02,0,0,0,0,228380048,0.057686999999999995,0.005593,0,0.143,0,0.074039,0.010369,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210128.336,inbound-rtp,video,video,228380047,T01,0.003,0,15,0,0,14942,0,3,3,0,3,0,488,0.06818199999999999,3,0.033255,0.033255,2,1776336210078.02,0,0,0,0,228380048,0.057686999999999995,0.005593,0,0.143,0,0.074039,0.010369,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210328.411,inbound-rtp,video,video,228380047,T01,0.003,0,15,0,0,14942,0,3,3,0,3,0,488,0.06818199999999999,3,0.033255,0.033255,2,1776336210078.02,0,0,0,0,228380048,0.057686999999999995,0.005593,0,0.143,0,0.074039,0.010369,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210328.411,inbound-rtp,video,video,228380047,T01,0.003,0,15,0,0,14942,0,3,3,0,3,0,488,0.06818199999999999,3,0.033255,0.033255,2,1776336210078.02,0,0,0,0,228380048,0.057686999999999995,0.005593,0,0.143,0,0.074039,0.010369,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210528.391,inbound-rtp,video,video,228380047,T01,0.005,0,18,0,0,17681,0,4,4,0,4,0,584,0.068206,4,0.033255,0.033255,2,1776336210509.3171,0,0,0,0,228380048,0.057698,0.006187,0,0.565,0,0.074728,0.18845299999999998,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210528.391,inbound-rtp,video,video,228380047,T01,0.005,0,18,0,0,17681,0,4,4,0,4,0,584,0.068206,4,0.033255,0.033255,2,1776336210509.3171,0,0,0,0,228380048,0.057698,0.006187,0,0.565,0,0.074728,0.18845299999999998,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210728.503,inbound-rtp,video,video,228380047,T01,0.005,0,20,0,0,19467,0,5,5,0,5,0,648,0.068227,5,0.033255,0.033255,2,1776336210639.926,0,0,0,0,228380048,0.057706,0.0069759999999999996,0,0.696,0,0.075559,0.205614,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210728.503,inbound-rtp,video,video,228380047,T01,0.005,0,20,0,0,19467,0,5,5,0,5,0,648,0.068227,5,0.033255,0.033255,2,1776336210639.926,0,0,0,0,228380048,0.057706,0.0069759999999999996,0,0.696,0,0.075559,0.205614,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210928.382,inbound-rtp,video,video,228380047,T01,0.005,0,22,0,0,21034,0,6,6,0,6,0,712,0.071454,6,0.034000999999999997,0.034000999999999997,2,1776336210771.106,0,0,0,0,228380048,0.057713999999999994,0.0074529999999999996,0,0.83,0,0.079286,0.22357,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336210928.382,inbound-rtp,video,video,228380047,T01,0.005,0,22,0,0,21034,0,6,6,0,6,0,712,0.071454,6,0.034000999999999997,0.034000999999999997,2,1776336210771.106,0,0,0,0,228380048,0.057713999999999994,0.0074529999999999996,0,0.83,0,0.079286,0.22357,9ea13f35-e677-4301-acbc-0f9e96b63738,270
IT01V228380047,1776336211128.35,inbound-rtp,video,video,228380047,T01,0.009,0,71,0,0,72018,0,10,13,0,13,0,2288,0.116307,13,0.24845399999999998,0.24845399999999998,3,1776336211112.893,0,0,0,0,228380048,0.057782999999999994,0.028679999999999997,0,1.175,0,0.14587,0.25615699999999997,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211128.35,inbound-rtp,video,video,228380047,T01,0.009,0,71,0,0,72018,0,10,13,0,13,0,2288,0.116307,13,0.24845399999999998,0.24845399999999998,3,1776336211112.893,0,0,0,0,228380048,0.057782999999999994,0.028679999999999997,0,1.175,0,0.14587,0.25615699999999997,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211328.339,inbound-rtp,video,video,228380047,T01,0.008,0,98,0,0,97561,0,12,19,0,19,0,3152,0.1525,19,0.48687199999999997,0.48687199999999997,3,1776336211316.956,0,0,0,0,228380048,0.05781,0.039991,0,1.378,0,0.193678,0.263092,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211328.339,inbound-rtp,video,video,228380047,T01,0.008,0,98,0,0,97561,0,12,19,0,19,0,3152,0.1525,19,0.48687199999999997,0.48687199999999997,3,1776336211316.956,0,0,0,0,228380048,0.05781,0.039991,0,1.378,0,0.193678,0.263092,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211528.32,inbound-rtp,video,video,228380047,T01,0.007,0,120,0,0,116398,0,13,25,0,25,0,3856,0.21221299999999998,25,0.669975,0.669975,3,1776336211507.654,0,0,0,0,228380048,0.057824,0.049498,0,1.581,0,0.26326299999999997,0.27017100000000005,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211528.32,inbound-rtp,video,video,228380047,T01,0.007,0,120,0,0,116398,0,13,25,0,25,0,3856,0.21221299999999998,25,0.669975,0.669975,3,1776336211507.654,0,0,0,0,228380048,0.057824,0.049498,0,1.581,0,0.26326299999999997,0.27017100000000005,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211728.364,inbound-rtp,video,video,228380047,T01,0.007,0,147,0,0,140548,0,15,30,0,31,0,4720,0.25771499999999997,31,0.837988,0.837988,3,1776336211719.082,0,0,0,0,228380048,0.057842,0.061897,0,1.737,0,0.308247,0.27510100000000004,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211728.364,inbound-rtp,video,video,228380047,T01,0.007,0,147,0,0,140548,0,15,30,0,31,0,4720,0.25771499999999997,31,0.837988,0.837988,3,1776336211719.082,0,0,0,0,228380048,0.057842,0.061897,0,1.737,0,0.308247,0.27510100000000004,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211928.548,inbound-rtp,video,video,228380047,T01,0.007,0,168,0,0,157879,0,17,37,0,37,0,5392,0.309734,37,1.00437,1.00437,3,1776336211912.7961,0,0,0,0,228380048,0.057864,0.07561,0,1.971,0,0.387509,0.2831450000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336211928.548,inbound-rtp,video,video,228380047,T01,0.007,0,168,0,0,157879,0,17,37,0,37,0,5392,0.309734,37,1.00437,1.00437,3,1776336211912.7961,0,0,0,0,228380048,0.057864,0.07561,0,1.971,0,0.387509,0.2831450000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,540
IT01V228380047,1776336212128.362,inbound-rtp,video,video,228380047,T01,0.01,0,250,0,0,244879,0,20,40,0,41,0,8028,0.37890199999999996,40,1.115378,1.115378,4,1776336212107.585,0,0,0,0,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212128.362,inbound-rtp,video,video,228380047,T01,0.01,0,250,0,0,244879,0,20,40,0,41,0,8028,0.37890199999999996,40,1.115378,1.115378,4,1776336212107.585,0,0,0,0,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212328.378,inbound-rtp,video,video,228380047,T01,0.01,0,297,0,0,291307,0,20,40,3,43,0,9532,0.42508799999999997,41,1.175498,1.175498,4,1776336212308.774,0,0,0,1,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212328.378,inbound-rtp,video,video,228380047,T01,0.01,0,297,0,0,291307,0,20,40,3,43,0,9532,0.42508799999999997,41,1.175498,1.175498,4,1776336212308.774,0,0,0,1,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212528.38,inbound-rtp,video,video,228380047,T01,0.01,0,352,0,0,345633,0,20,40,3,45,0,11292,0.42508799999999997,41,1.175498,1.175498,4,1776336212504.677,0,0,0,2,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212528.38,inbound-rtp,video,video,228380047,T01,0.01,0,352,0,0,345633,0,20,40,3,45,0,11292,0.42508799999999997,41,1.175498,1.175498,4,1776336212504.677,0,0,0,2,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212728.428,inbound-rtp,video,video,228380047,T01,0.01,0,405,0,0,398105,0,20,40,3,47,0,12988,0.42508799999999997,41,1.175498,1.175498,4,1776336212702.752,0,0,0,3,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212728.428,inbound-rtp,video,video,228380047,T01,0.01,0,405,0,0,398105,0,20,40,3,47,0,12988,0.42508799999999997,41,1.175498,1.175498,4,1776336212702.752,0,0,0,3,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212928.41,inbound-rtp,video,video,228380047,T01,0.009,0,476,0,0,470062,0,20,40,3,50,0,15260,0.42508799999999997,41,1.175498,1.175498,4,1776336212914.999,0,0,0,4,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
IT01V228380047,1776336212928.41,inbound-rtp,video,video,228380047,T01,0.009,0,476,0,0,470062,0,20,40,3,50,0,15260,0.42508799999999997,41,1.175498,1.175498,4,1776336212914.999,0,0,0,4,228380048,0.057915999999999995,0.09821099999999999,0,2.16,0,0.47942999999999997,0.2982340000000001,9ea13f35-e677-4301-acbc-0f9e96b63738,1080
