id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1113519647,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1113519647,T01,0,0,true,1,0,0,0,0,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2656362842,0,0,0
OT01V3958868966,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3958868966,T01,0,1,true,2,0,0,0,283,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2274946073,0,0,0
OT01V4254581089,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,4254581089,T01,26371,64,true,0,0,20,20,8749,3,2,SV192,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2986656538,0.364,0,0.805465
OT01V1113519647,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1113519647,T01,0,0,true,1,0,0,0,0,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2656362842,0,0,0
OT01V3958868966,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3958868966,T01,0,1,true,2,0,0,0,283,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2274946073,0,0,0
OT01V4254581089,1776338262742.701,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,4254581089,T01,26371,64,true,0,0,20,20,8749,3,2,SV192,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2986656538,0.364,0,0.805465
OT01V1113519647,1776338263742.835,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1113519647,T01,0,0,true,1,0,0,0,0,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2656362842,0,0,0
OT01V3958868966,1776338263742.835,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3958868966,T01,0,1,true,2,0,0,0,283,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2274946073,0,0,0
OT01V4254581089,1776338263742.835,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,4254581089,T01,47886,150,true,0,0,45,45,23958,3,2,SV192,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2986656538,0.851,0,0.976725
OT01V1113519647,1776338263742.835,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1113519647,T01,0,0,true,1,0,0,0,0,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r1,2656362842,0,0,0
OT01V3958868966,1776338263742.835,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,3958868966,T01,0,1,true,2,0,0,0,283,0,0,SV192,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2274946073,0,0,0
