id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,remoteId,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1097486234,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,31339,44,true,0,0,270,480,27,30,27,1439,1,1,SV211,0,0,0,0,5346,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,214166,0.558,0,2.8345979999999997
OT01V3097822197,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,31339,44,true,0,0,270,480,27,30,27,1439,1,1,SV211,0,0,0,0,5346,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,214166,0.558,0,2.8345979999999997
OT01V3097822197,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338946742.927,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,55019,129,true,0,0,270,480,56,30,56,15974,1,1,SV211,0,0,0,0,11156,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,220566,1.024,0,2.875244
OT01V3097822197,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,55019,129,true,0,0,270,480,56,30,56,15974,1,1,SV211,0,0,0,0,11156,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,220566,1.024,0,2.875244
OT01V3097822197,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338947742.767,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,82529,218,true,0,0,270,480,86,31,86,31115,1,1,SV211,0,0,0,0,17047,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,1.567,0,2.875277
OT01V3097822197,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,82529,218,true,0,0,270,480,86,31,86,31115,1,1,SV211,0,0,0,0,17047,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,1.567,0,2.875277
OT01V3097822197,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338948742.75,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338949742.711,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,113739,301,true,0,0,270,480,116,31,116,44072,1,1,SV211,0,0,0,0,22815,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,2.116,0,2.875318
