id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V146102413,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,30959,45,true,0,0,27,27,2220,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,0.63,0,1.785563
OT01V2838226439,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,30959,45,true,0,0,27,27,2220,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,0.63,0,1.785563
OT01V2838226439,1776342906742.865,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,55254,126,true,0,0,56,56,15639,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,1.164,0,1.823548
OT01V2838226439,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,55254,126,true,0,0,56,56,15639,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,1.164,0,1.823548
OT01V2838226439,1776342907742.782,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,84016,209,true,0,0,86,86,29361,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,1.731,0,1.82358
OT01V2838226439,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,84016,209,true,0,0,86,86,29361,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,1.731,0,1.82358
OT01V2838226439,1776342908742.794,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342909742.869,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
