id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,remoteId,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2563293781,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,31892,46,true,0,0,270,480,27,29,27,1479,1,1,SV248,0,0,0,0,5383,[object Object],bandwidth,0,RIV2563293781,0,0,r0,2196042538,L1T3,214166,0.133,0,1.565018
OT01V2988832845,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,0,1,true,2,0,,,0,,0,283,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,1168315824,,,0,0,0
OT01V3270624845,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,0,0,true,1,0,,,0,,0,0,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,3338422603,,,0,0,0
OT01V2563293781,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,31892,46,true,0,0,270,480,27,29,27,1479,1,1,SV248,0,0,0,0,5383,[object Object],bandwidth,0,RIV2563293781,0,0,r0,2196042538,L1T3,214166,0.133,0,1.565018
OT01V2988832845,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,0,1,true,2,0,,,0,,0,283,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,1168315824,,,0,0,0
OT01V3270624845,1776275023021.747,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,0,0,true,1,0,,,0,,0,0,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,3338422603,,,0,0,0
OT01V2563293781,1776275024021.597,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,52184,140,true,0,0,270,480,55,28,55,19035,1,1,SV248,0,0,0,0,11067,[object Object],bandwidth,0,RIV2563293781,0,0,r0,2196042538,L1T3,192318,0.274,0,1.5650469999999999
OT01V2988832845,1776275024021.597,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,0,1,true,2,0,,,0,,0,283,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,1168315824,,,0,0,0
OT01V3270624845,1776275024021.597,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,0,0,true,1,0,,,0,,0,0,0,0,SV248,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,3338422603,,,0,0,0
OT01V2563293781,1776275024021.597,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,52184,140,true,0,0,270,480,55,28,55,19035,1,1,SV248,0,0,0,0,11067,[object Object],bandwidth,0,RIV2563293781,0,0,r0,2196042538,L1T3,192318,0.274,0,1.5650469999999999
