id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2287984055,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,29556,51,true,0,0,27,27,3631,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.126,0,1.138515
OT01V886995852,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,29556,51,true,0,0,27,27,3631,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.126,0,1.138515
OT01V886995852,1776276391021.778,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,50893,142,true,0,0,56,56,20095,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.268,0,1.138541
OT01V886995852,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,50893,142,true,0,0,56,56,20095,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.268,0,1.138541
OT01V886995852,1776276392021.605,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,77879,231,true,0,0,86,86,35746,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.406,0,1.138563
OT01V886995852,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,77879,231,true,0,0,86,86,35746,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.406,0,1.138563
OT01V886995852,1776276393021.595,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,107173,318,true,0,0,116,116,50329,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.556,0,1.138606
OT01V886995852,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,107173,318,true,0,0,116,116,50329,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.556,0,1.138606
OT01V886995852,1776276394021.683,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,140144,415,true,0,0,146,146,66682,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.71,0,1.166132
OT01V886995852,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
