

id,timestamp,type,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V134147442,1776277254171.777,inbound-rtp,video,video,134147442,T01,0,0,7,0,0,7458,0,0,0,0,0,0,224,0,0,0,0,0,1776277254169.5051,0,0,0,0,134147443,0,0,0,0,0,0,0,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,1
IT01V134147442,1776277254171.777,inbound-rtp,video,video,134147442,T01,0,0,7,0,0,7458,0,0,0,0,0,0,224,0,0,0,0,0,1776277254169.5051,0,0,0,0,134147443,0,0,0,0,0,0,0,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,1
IT01V134147442,1776277254371.691,inbound-rtp,video,video,134147442,T01,0,0,8,0,0,8524,0,1,1,0,1,0,260,0.057707999999999995,1,0.011124,0.011124,1,1776277254174.7651,0,0,0,0,134147443,0.057607,0.007422,0,0,0,0.06548899999999999,0,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254371.691,inbound-rtp,video,video,134147442,T01,0,0,8,0,0,8524,0,1,1,0,1,0,260,0.057707999999999995,1,0.011124,0.011124,1,1776277254174.7651,0,0,0,0,134147443,0.057607,0.007422,0,0,0,0.06548899999999999,0,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254571.523,inbound-rtp,video,video,134147442,T01,0.015,0,13,0,0,12520,0,3,4,0,4,0,420,0.183474,4,0.150012,0.150012,1,1776277254523.0881,0,0,0,0,134147443,0.10303899999999999,0.014551,0,0.388,0,0.198743,0.05987000000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254571.523,inbound-rtp,video,video,134147442,T01,0.015,0,13,0,0,12520,0,3,4,0,4,0,420,0.183474,4,0.150012,0.150012,1,1776277254523.0881,0,0,0,0,134147443,0.10303899999999999,0.014551,0,0.388,0,0.198743,0.05987000000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254771.69,inbound-rtp,video,video,134147442,T01,0.015,0,15,0,0,14145,0,4,5,0,5,0,484,0.19935799999999998,5,0.238584,0.238584,1,1776277254646.991,0,0,0,0,134147443,0.10306699999999999,0.017151,0,0.483,0,0.217293,0.06889500000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254771.69,inbound-rtp,video,video,134147442,T01,0.015,0,15,0,0,14145,0,4,5,0,5,0,484,0.19935799999999998,5,0.238584,0.238584,1,1776277254646.991,0,0,0,0,134147443,0.10306699999999999,0.017151,0,0.483,0,0.217293,0.06889500000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254971.64,inbound-rtp,video,video,134147442,T01,0.013,0,18,0,0,17311,0,5,7,0,7,0,580,0.20791199999999999,7,0.37927099999999997,0.37927099999999997,1,1776277254911.741,0,0,0,0,134147443,0.103117,0.02204,0,0.732,0,0.230895,0.09989600000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277254971.64,inbound-rtp,video,video,134147442,T01,0.013,0,18,0,0,17311,0,5,7,0,7,0,580,0.20791199999999999,7,0.37927099999999997,0.37927099999999997,1,1776277254911.741,0,0,0,0,134147443,0.103117,0.02204,0,0.732,0,0.230895,0.09989600000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255171.586,inbound-rtp,video,video,134147442,T01,0.012,0,21,0,0,19394,0,6,8,0,8,0,676,0.208002,8,0.43044099999999996,0.43044099999999996,1,1776277255140.407,0,0,0,0,134147443,0.103166,0.024539,0,0.865,0,0.233613,0.11758500000000002,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255171.586,inbound-rtp,video,video,134147442,T01,0.012,0,21,0,0,19394,0,6,8,0,8,0,676,0.208002,8,0.43044099999999996,0.43044099999999996,1,1776277255140.407,0,0,0,0,134147443,0.103166,0.024539,0,0.865,0,0.233613,0.11758500000000002,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255371.559,inbound-rtp,video,video,134147442,T01,0.009,0,29,0,0,24668,0,8,14,1,14,0,932,0.22832899999999998,14,0.676968,0.676968,1,1776277255340.124,0,0,0,0,134147443,0.103267,0.035285,0,1.169,0,0.265341,0.14137500000000006,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255371.559,inbound-rtp,video,video,134147442,T01,0.009,0,29,0,0,24668,0,8,14,1,14,0,932,0.22832899999999998,14,0.676968,0.676968,1,1776277255340.124,0,0,0,0,134147443,0.103267,0.035285,0,1.169,0,0.265341,0.14137500000000006,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255571.588,inbound-rtp,video,video,134147442,T01,0.007,0,36,0,0,28556,0,9,20,1,20,0,1156,0.24245499999999998,20,0.844391,0.844391,1,1776277255540.183,0,0,0,0,134147443,0.10331699999999999,0.046606999999999996,0,1.359,0,0.291449,0.14744500000000008,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255571.588,inbound-rtp,video,video,134147442,T01,0.007,0,36,0,0,28556,0,9,20,1,20,0,1156,0.24245499999999998,20,0.844391,0.844391,1,1776277255540.183,0,0,0,0,134147443,0.10331699999999999,0.046606999999999996,0,1.359,0,0.291449,0.14744500000000008,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255771.464,inbound-rtp,video,video,134147442,T01,0.006,0,43,0,0,32339,0,10,26,1,26,0,1380,0.26936699999999997,26,0.96709,0.96709,1,1776277255741.049,0,0,0,0,134147443,0.10334499999999999,0.056256999999999995,0,1.56,0,0.32872399999999996,0.1543440000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
IT01V134147442,1776277255771.464,inbound-rtp,video,video,134147442,T01,0.006,0,43,0,0,32339,0,10,26,1,26,0,1380,0.26936699999999997,26,0.96709,0.96709,1,1776277255741.049,0,0,0,0,134147443,0.10334499999999999,0.056256999999999995,0,1.56,0,0.32872399999999996,0.1543440000000001,5b6a1c7d-abce-4616-a7e1-454bb520fdf2,270
