id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,remoteId,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1512384206,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,27663,58,true,0,0,270,480,20,21,20,7059,3,2,SV338,0,0,0,1,3968,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,214166,0.104,0,1.654961
OT01V2814931227,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,27663,58,true,0,0,270,480,20,21,20,7059,3,2,SV338,0,0,0,1,3968,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,214166,0.104,0,1.654961
OT01V2814931227,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278263021.725,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,51565,142,true,0,0,270,480,46,26,46,20957,3,2,SV338,0,0,0,1,9042,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,179760,0.231,0,1.8142239999999998
OT01V2814931227,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,51565,142,true,0,0,270,480,46,26,46,20957,3,2,SV338,0,0,0,1,9042,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,179760,0.231,0,1.8142239999999998
OT01V2814931227,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278264021.686,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,71702,251,true,0,0,270,480,71,25,71,43085,3,2,SV338,0,0,0,1,13944,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,212771,0.348,0,1.8423699999999998
OT01V2814931227,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,71702,251,true,0,0,270,480,71,25,71,43085,3,2,SV338,0,0,0,1,13944,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,212771,0.348,0,1.8423699999999998
OT01V2814931227,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278265021.706,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,96240,354,true,0,0,270,480,98,27,98,61531,3,2,SV338,0,0,0,1,19055,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.479,0,1.9365809999999999
OT01V2814931227,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,96240,354,true,0,0,270,480,98,27,98,61531,3,2,SV338,0,0,0,1,19055,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.479,0,1.9365809999999999
OT01V2814931227,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278266021.691,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,128713,456,true,0,0,270,480,127,28,127,79196,3,2,SV338,0,0,0,1,24464,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.633,0,1.936693
OT01V2814931227,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,128713,456,true,0,0,270,480,127,28,127,79196,3,2,SV338,0,0,0,1,24464,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.633,0,1.936693
OT01V2814931227,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278267021.625,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,159643,566,true,0,0,270,480,155,28,155,99846,3,2,SV338,0,0,0,1,29670,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.777,0,1.936875
OT01V2814931227,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,159643,566,true,0,0,270,480,155,28,155,99846,3,2,SV338,0,0,0,1,29670,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.777,0,1.936875
OT01V2814931227,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278268021.692,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,192213,684,true,0,0,270,480,184,29,184,122226,3,2,SV338,0,0,0,1,35058,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.932,0,1.937106
OT01V2814931227,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,192213,684,true,0,0,270,480,184,29,184,122226,3,2,SV338,0,0,0,1,35058,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,0.932,0,1.937106
OT01V2814931227,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278269021.666,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,224737,822,true,0,0,270,480,213,29,213,150186,3,2,SV338,0,0,0,1,40462,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,1.085,0,1.9373449999999999
OT01V2814931227,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,224737,822,true,0,0,270,480,213,29,213,150186,3,2,SV338,0,0,0,1,40462,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,1.085,0,1.9373449999999999
OT01V2814931227,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278270021.695,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,264383,959,true,0,0,270,480,242,29,242,176612,3,2,SV338,0,0,0,1,45880,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,255483,1.248,0,1.937611
OT01V2814931227,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,264383,959,true,0,0,270,480,242,29,242,176612,3,2,SV338,0,0,0,1,45880,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,255483,1.248,0,1.937611
OT01V2814931227,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278271021.63,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,332425,1046,true,0,0,270,480,271,29,271,182562,3,2,SV338,0,0,0,1,51318,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,1.414,0,1.9377099999999998
OT01V2814931227,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,332425,1046,true,0,0,270,480,271,29,271,182562,3,2,SV338,0,0,0,1,51318,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,257000,1.414,0,1.9377099999999998
OT01V2814931227,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278272021.638,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,407157,1128,true,0,0,270,480,300,29,300,184858,3,2,SV338,0,0,0,1,56770,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,249272,1.57,0,1.937778
OT01V2814931227,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
OT01V1512384206,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1512384206,T01,407157,1128,true,0,0,270,480,300,29,300,184858,3,2,SV338,0,0,0,1,56770,[object Object],bandwidth,0,RIV1512384206,0,0,r0,879170999,L1T3,249272,1.57,0,1.937778
OT01V2814931227,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2814931227,T01,0,1,true,2,0,,,0,,0,283,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3366258742,,,0,0,0
OT01V705863222,1776278273021.753,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,705863222,T01,0,0,true,1,0,,,0,,0,0,0,0,SV338,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,2892549054,,,0,0,0
