

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V852355715,1776279018161.46,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0,0,6,0,0,6002,0,0,0,0,1,0,196,0.044281,1,0.011085,0.011085,1,1776279018159.4622,0,0,0,0,0,0,0,0,0,0,0,f3f1dfca-1cdf-46cd-b986-ba7e368889da,1
IT01V852355715,1776279018161.46,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0,0,6,0,0,6002,0,0,0,0,1,0,196,0.044281,1,0.011085,0.011085,1,1776279018159.4622,0,0,0,0,0,0,0,0,0,0,0,f3f1dfca-1cdf-46cd-b986-ba7e368889da,1
IT01V852355715,1776279018361.283,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0,0,6,0,0,6002,0,1,1,0,1,0,196,0.044281,1,0.011085,0.011085,1,1776279018159.4622,0,0,0,0,0.044177999999999995,0.0057729999999999995,0,0,0,0.050356,0,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018361.283,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0,0,6,0,0,6002,0,1,1,0,1,0,196,0.044281,1,0.011085,0.011085,1,1776279018159.4622,0,0,0,0,0.044177999999999995,0.0057729999999999995,0,0,0,0.050356,0,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018561.373,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.019,0,12,0,0,11088,0,3,3,0,4,0,388,0.16,3,0.050497,0.050497,1,1776279018544.521,0,0,0,0,0.08935499999999999,0.00955,0,0.374,0,0.170004,0.0769,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018561.373,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.019,0,12,0,0,11088,0,3,3,0,4,0,388,0.16,3,0.050497,0.050497,1,1776279018544.521,0,0,0,0,0.08935499999999999,0.00955,0,0.374,0,0.170004,0.0769,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018761.43,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.018,0,14,0,0,12314,0,5,5,0,5,0,452,0.263908,5,0.278145,0.278145,1,1776279018675.387,0,0,0,0,0.089432,0.014216,0,0.545,0,0.278835,0.091633,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018761.43,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.018,0,14,0,0,12314,0,5,5,0,5,0,452,0.263908,5,0.278145,0.278145,1,1776279018675.387,0,0,0,0,0.089432,0.014216,0,0.545,0,0.278835,0.091633,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018961.252,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.016,0,18,0,0,15494,0,7,7,0,7,0,580,0.272912,7,0.454007,0.454007,1,1776279018943.166,0,0,0,0,0.089489,0.019198,0,0.78,0,0.293059,0.119358,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279018961.252,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.016,0,18,0,0,15494,0,7,7,0,7,0,580,0.272912,7,0.454007,0.454007,1,1776279018943.166,0,0,0,0,0.089489,0.019198,0,0.78,0,0.293059,0.119358,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019161.297,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.014,0,21,0,0,17491,0,8,9,0,9,0,676,0.27919099999999997,9,0.5798289999999999,0.5798289999999999,1,1776279019139.996,0,0,0,0,0.08952,0.023264999999999997,0,0.982,0,0.303664,0.141808,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019161.297,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.014,0,21,0,0,17491,0,8,9,0,9,0,676,0.27919099999999997,9,0.5798289999999999,0.5798289999999999,1,1776279019139.996,0,0,0,0,0.08952,0.023264999999999997,0,0.982,0,0.303664,0.141808,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019361.377,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.01,0,29,0,0,22884,0,10,15,0,15,0,932,0.306714,15,0.880203,0.880203,1,1776279019341.905,0,0,0,0,0.08960699999999999,0.034127,0,1.186,0,0.342788,0.148922,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019361.377,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.01,0,29,0,0,22884,0,10,15,0,15,0,932,0.306714,15,0.880203,0.880203,1,1776279019341.905,0,0,0,0,0.08960699999999999,0.034127,0,1.186,0,0.342788,0.148922,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019561.326,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.008,0,35,0,0,26690,0,11,20,0,20,0,1124,0.32559099999999996,20,1.044355,1.044355,1,1776279019537.84,0,0,0,0,0.08965,0.042723,0,1.373,0,0.370814,0.15702299999999997,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019561.326,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.008,0,35,0,0,26690,0,11,20,0,20,0,1124,0.32559099999999996,20,1.044355,1.044355,1,1776279019537.84,0,0,0,0,0.08965,0.042723,0,1.373,0,0.370814,0.15702299999999997,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019761.26,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.006,0,42,0,0,30629,0,12,26,0,26,0,1348,0.380982,26,1.183818,1.183818,1,1776279019735.364,0,0,0,0,0.089659,0.04568,0,1.574,0,0.42968399999999995,0.16391599999999992,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019761.26,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.006,0,42,0,0,30629,0,12,26,0,26,0,1348,0.380982,26,1.183818,1.183818,1,1776279019735.364,0,0,0,0,0.089659,0.04568,0,1.574,0,0.42968399999999995,0.16391599999999992,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019961.272,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,49,0,0,34712,0,13,32,0,32,0,1572,0.381333,32,1.2872029999999999,1.2872029999999999,1,1776279019938.667,0,0,0,0,0.089686,0.056331,0,1.775,0,0.44127,0.17077499999999993,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279019961.272,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,49,0,0,34712,0,13,32,0,32,0,1572,0.381333,32,1.2872029999999999,1.2872029999999999,1,1776279019938.667,0,0,0,0,0.089686,0.056331,0,1.775,0,0.44127,0.17077499999999993,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020161.276,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,55,0,0,38498,0,13,38,0,38,0,1764,0.381602,38,1.370463,1.370463,1,1776279020138.99,0,0,0,0,0.089686,0.065802,0,1.974,0,0.45172399999999996,0.1774399999999999,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020161.276,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,55,0,0,38498,0,13,38,0,38,0,1764,0.381602,38,1.370463,1.370463,1,1776279020138.99,0,0,0,0,0.089686,0.065802,0,1.974,0,0.45172399999999996,0.1774399999999999,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020361.358,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,63,0,0,45497,0,15,44,0,44,0,2020,0.382013,44,1.4512349999999998,1.4512349999999998,1,1776279020338.144,0,0,0,0,0.089793,0.077776,0,2.173,0,0.46483599999999997,0.18420699999999987,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020361.358,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,63,0,0,45497,0,15,44,0,44,0,2020,0.382013,44,1.4512349999999998,1.4512349999999998,1,1776279020338.144,0,0,0,0,0.089793,0.077776,0,2.173,0,0.46483599999999997,0.18420699999999987,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020561.347,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,69,0,0,49627,0,15,50,0,50,0,2212,0.382262,50,1.535167,1.535167,1,1776279020538.52,0,0,0,0,0.089793,0.08628999999999999,0,2.374,0,0.474218,0.19095999999999985,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020561.347,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,69,0,0,49627,0,15,50,0,50,0,2212,0.382262,50,1.535167,1.535167,1,1776279020538.52,0,0,0,0,0.089793,0.08628999999999999,0,2.374,0,0.474218,0.19095999999999985,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020761.109,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,77,0,0,55097,0,17,56,0,56,0,2468,0.392841,56,1.623587,1.623587,1,1776279020735.173,0,0,0,0,0.089835,0.095298,0,2.574,0,0.49415899999999996,0.19777399999999984,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020761.109,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,77,0,0,55097,0,17,56,0,56,0,2468,0.392841,56,1.623587,1.623587,1,1776279020735.173,0,0,0,0,0.089835,0.095298,0,2.574,0,0.49415899999999996,0.19777399999999984,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020961.272,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,85,0,0,60853,0,18,62,0,62,0,2724,0.395978,62,1.7136509999999998,1.7136509999999998,1,1776279020938.604,0,0,0,0,0.089853,0.09958,0,2.774,0,0.5018589999999999,0.20448199999999983,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279020961.272,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,85,0,0,60853,0,18,62,0,62,0,2724,0.395978,62,1.7136509999999998,1.7136509999999998,1,1776279020938.604,0,0,0,0,0.089853,0.09958,0,2.774,0,0.5018589999999999,0.20448199999999983,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021161.351,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,92,0,0,66582,0,19,68,0,68,0,2948,0.396344,68,1.8064909999999998,1.8064909999999998,1,1776279021139.33,0,0,0,0,0.089902,0.111165,0,2.975,0,0.514548,0.21134899999999981,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021161.351,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,92,0,0,66582,0,19,68,0,68,0,2948,0.396344,68,1.8064909999999998,1.8064909999999998,1,1776279021139.33,0,0,0,0,0.089902,0.111165,0,2.975,0,0.514548,0.21134899999999981,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021361.335,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,98,0,0,70920,0,19,74,0,74,0,3140,0.403908,74,1.902593,1.902593,1,1776279021338.519,0,0,0,0,0.089902,0.120782,0,3.174,0,0.532412,0.21798599999999982,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021361.335,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,98,0,0,70920,0,19,74,0,74,0,3140,0.403908,74,1.902593,1.902593,1,1776279021338.519,0,0,0,0,0.089902,0.120782,0,3.174,0,0.532412,0.21798599999999982,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021561.378,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,108,0,0,78973,0,23,80,0,80,0,3460,0.415373,80,2.004358,2.004358,1,1776279021539.6401,0,0,0,0,0.090056,0.133208,0,3.376,0,0.5572239999999999,0.22488399999999983,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021561.378,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,108,0,0,78973,0,23,80,0,80,0,3460,0.415373,80,2.004358,2.004358,1,1776279021539.6401,0,0,0,0,0.090056,0.133208,0,3.376,0,0.5572239999999999,0.22488399999999983,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021761.358,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,115,0,0,83773,0,24,86,0,86,0,3684,0.437896,86,2.11279,2.11279,1,1776279021738.885,0,0,0,0,0.090086,0.144839,0,3.576,0,0.592075,0.23161799999999982,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021761.358,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,115,0,0,83773,0,24,86,0,86,0,3684,0.437896,86,2.11279,2.11279,1,1776279021738.885,0,0,0,0,0.090086,0.144839,0,3.576,0,0.592075,0.23161799999999982,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021961.133,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,124,0,0,90135,0,27,92,0,92,0,3972,0.478444,92,2.223106,2.223106,1,1776279021936.321,0,0,0,0,0.090219,0.154891,0,3.777,0,0.643303,0.2384649999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279021961.133,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.002,0,124,0,0,90135,0,27,92,0,92,0,3972,0.478444,92,2.223106,2.223106,1,1776279021936.321,0,0,0,0,0.090219,0.154891,0,3.777,0,0.643303,0.2384649999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022161.343,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,132,0,0,97394,0,28,98,0,98,0,4228,0.544509,98,2.352146,2.352146,1,1776279022139.149,0,0,0,0,0.13711299999999998,0.162054,0,3.982,0,0.717104,0.24886799999999978,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022161.343,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,132,0,0,97394,0,28,98,0,98,0,4228,0.544509,98,2.352146,2.352146,1,1776279022139.149,0,0,0,0,0.13711299999999998,0.162054,0,3.982,0,0.717104,0.24886799999999978,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022361.372,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,142,0,0,104933,0,31,104,0,104,0,4548,0.594776,104,2.501099,2.501099,1,1776279022338.426,0,0,0,0,0.137261,0.174144,0,4.185,0,0.780123,0.25595299999999976,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022361.372,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.004,0,142,0,0,104933,0,31,104,0,104,0,4548,0.594776,104,2.501099,2.501099,1,1776279022338.426,0,0,0,0,0.137261,0.174144,0,4.185,0,0.780123,0.25595299999999976,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022561.369,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,149,0,0,110430,0,32,110,0,110,0,4772,0.656597,110,2.6486929999999997,2.6486929999999997,1,1776279022538.809,0,0,0,0,0.137316,0.18390199999999998,0,4.388,0,0.852405,0.26302999999999976,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022561.369,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,149,0,0,110430,0,32,110,0,110,0,4772,0.656597,110,2.6486929999999997,2.6486929999999997,1,1776279022538.809,0,0,0,0,0.137316,0.18390199999999998,0,4.388,0,0.852405,0.26302999999999976,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022761.367,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,160,0,0,118449,0,35,115,0,115,0,5124,0.6980919999999999,115,2.769789,2.769789,1,1776279022740.656,0,0,0,0,0.137439,0.193552,0,4.561,0,0.9041389999999999,0.26928099999999977,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022761.367,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.003,0,160,0,0,118449,0,35,115,0,115,0,5124,0.6980919999999999,115,2.769789,2.769789,1,1776279022740.656,0,0,0,0,0.137439,0.193552,0,4.561,0,0.9041389999999999,0.26928099999999977,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022961.243,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,169,0,0,125058,0,37,122,0,122,0,5412,0.814052,122,2.965503,2.965503,1,1776279022937.943,0,0,0,0,0.180327,0.206419,0,4.794,0,1.033682,0.2789399999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279022961.243,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,169,0,0,125058,0,37,122,0,122,0,5412,0.814052,122,2.965503,2.965503,1,1776279022937.943,0,0,0,0,0.180327,0.206419,0,4.794,0,1.033682,0.2789399999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279023161.133,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,177,0,0,132117,0,39,128,0,128,0,5668,0.881921,128,3.135178,3.135178,1,1776279023135.42,0,0,0,0,0.180437,0.21683,0,4.98,0,1.112439,0.2847159999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
IT01V852355715,1776279023161.133,inbound-rtp,CIT01_105_profile-id=0,video,video,852355715,T01,0.005,0,177,0,0,132117,0,39,128,0,128,0,5668,0.881921,128,3.135178,3.135178,1,1776279023135.42,0,0,0,0,0.180437,0.21683,0,4.98,0,1.112439,0.2847159999999998,f3f1dfca-1cdf-46cd-b986-ba7e368889da,270
