,timestamp,bytesSent,packetsSent,framesEncoded,framesSent,hugeFramesSent,testNum,codec,enc_type,time
0,800.1123046875,29498,48,24,24,2,0,video_av1,svc,800.1123046875
1,1800.3662109375,34400,48,29,29,4,0,video_av1,svc,1000.25390625
2,2600.3134765625,29172,40,18,18,0,0,video_av1,svc,799.947265625
3,3736.3154296875,30751,69,29,29,0,0,video_av1,svc,1136.001953125
4,6408.6064453125,55480,252,74,74,0,0,video_av1,svc,2672.291015625
5,10926.498046875,99033,479,127,127,0,0,video_av1,svc,4517.8916015625
6,12254.2802734375,30580,158,40,40,0,0,video_av1,svc,1327.7822265625
7,13272.3828125,30084,103,31,31,2,0,video_av1,svc,1018.1025390625
8,14072.2509765625,32520,68,26,26,4,0,video_av1,svc,799.8681640625
9,15000.63671875,52957,70,32,32,4,0,video_av1,svc,928.3857421875
10,15800.384765625,48248,58,24,24,4,0,video_av1,svc,799.748046875
11,16800.34375,46955,60,23,23,4,0,video_av1,svc,999.958984375
12,17600.4521484375,43740,54,28,28,0,0,video_av1,svc,800.1083984375
13,18600.4912109375,55576,73,35,35,3,0,video_av1,svc,1000.0390625
14,19400.1123046875,31126,52,28,28,0,0,video_av1,svc,799.62109375
15,20936.7529296875,81112,141,52,52,4,0,video_av1,svc,1536.640625
16,24408.7431640625,158284,392,124,124,8,0,video_av1,svc,3471.990234375
17,29408.5244140625,330844,459,183,183,22,0,video_av1,svc,4999.78125
18,33408.4521484375,304634,358,144,144,12,0,video_av1,svc,3999.927734375
19,38408.6103515625,419722,476,190,190,12,0,video_av1,svc,5000.158203125
20,42408.697265625,392462,424,166,166,2,0,video_av1,svc,4000.0869140625
21,47408.4853515625,543346,594,223,223,1,0,video_av1,svc,4999.7880859375
22,51408.533203125,486978,532,192,192,2,0,video_av1,svc,4000.0478515625
23,56408.888671875,687100,666,129,129,9,0,video_av1,svc,5000.35546875
24,60408.7705078125,614128,524,0,0,0,0,video_av1,svc,3999.8818359375
25,65409.1533203125,704372,601,0,0,0,0,video_av1,svc,5000.3828125
26,69408.6943359375,145328,124,0,0,0,0,video_av1,svc,3999.541015625
27,74408.6455078125,0,0,0,0,0,0,video_av1,svc,4999.951171875
28,78408.7822265625,0,0,0,0,0,0,video_av1,svc,4000.13671875
29,3999.9677734375,96758,366,106,106,2,1,video_av1,svc,3999.9677734375
30,9000.0224609375,126150,519,157,157,2,1,video_av1,svc,5000.0546875
31,12999.884765625,197440,318,150,150,12,1,video_av1,svc,3999.8623046875
32,18000.015625,294644,385,171,171,21,1,video_av1,svc,5000.130859375
33,22000.0810546875,195532,356,142,142,12,1,video_av1,svc,4000.0654296875
34,26999.7451171875,286214,584,187,187,15,1,video_av1,svc,4999.6640625
35,30999.9794921875,312940,356,144,144,12,1,video_av1,svc,4000.234375
36,35999.8544921875,443309,497,188,188,7,1,video_av1,svc,4999.875
37,39999.5869140625,405884,444,166,166,2,1,video_av1,svc,3999.732421875
38,45000.1162109375,559968,614,231,231,1,1,video_av1,svc,5000.529296875
39,48999.59375,503254,556,202,202,0,1,video_av1,svc,3999.4775390625
40,53999.8349609375,697015,667,77,77,6,1,video_av1,svc,5000.2412109375
41,57999.9404296875,618332,572,0,0,0,1,video_av1,svc,4000.10546875
42,63000.1123046875,634547,587,0,0,0,1,video_av1,svc,5000.171875
43,66999.958984375,17296,16,0,0,0,1,video_av1,svc,3999.8466796875
44,72000.2158203125,0,0,0,0,0,1,video_av1,svc,5000.2568359375
45,75999.8076171875,0,0,0,0,0,1,video_av1,svc,3999.591796875
46,2999.994140625,22891,85,26,26,0,10,video_av1,simulcast,2999.994140625
47,5999.8505859375,18658,107,24,24,0,10,video_av1,simulcast,2999.8564453125
48,9000.138671875,22836,110,28,28,0,10,video_av1,simulcast,3000.2880859375
49,12000.0390625,32801,99,29,29,0,10,video_av1,simulcast,2999.900390625
50,14999.92578125,32594,105,29,29,0,10,video_av1,simulcast,2999.88671875
51,18000.0625,31502,127,29,29,0,10,video_av1,simulcast,3000.13671875
52,20999.876953125,32634,137,28,28,0,10,video_av1,simulcast,2999.814453125
53,23999.79296875,35261,146,29,29,0,10,video_av1,simulcast,2999.916015625
54,26999.8681640625,65529,95,29,29,0,10,video_av1,simulcast,3000.0751953125
55,29999.9912109375,76359,82,28,28,0,10,video_av1,simulcast,3000.123046875
56,32999.9794921875,87358,94,34,34,7,10,video_av1,simulcast,2999.98828125
57,35999.859375,92658,100,38,38,15,10,video_av1,simulcast,2999.8798828125
58,39000.033203125,87304,99,33,33,12,10,video_av1,simulcast,3000.173828125
59,41999.865234375,103264,112,33,33,12,10,video_av1,simulcast,2999.83203125
60,44999.826171875,116908,124,37,37,13,10,video_av1,simulcast,2999.9609375
61,47999.8837890625,118589,129,43,43,15,10,video_av1,simulcast,3000.0576171875
62,51000.1025390625,128717,141,53,53,25,10,video_av1,simulcast,3000.21875
63,53999.97265625,142343,155,54,54,25,10,video_av1,simulcast,2999.8701171875
64,57000.033203125,151910,164,53,53,23,10,video_av1,simulcast,3000.060546875
65,59999.8798828125,162287,174,56,56,26,10,video_av1,simulcast,2999.8466796875
66,63000.05078125,176994,193,56,56,29,10,video_av1,simulcast,3000.1708984375
67,66000.0751953125,195537,215,57,57,28,10,video_av1,simulcast,3000.0244140625
68,69000.0126953125,197779,218,56,56,27,10,video_av1,simulcast,2999.9375
69,71999.9580078125,223895,230,57,57,28,10,video_av1,simulcast,2999.9453125
70,74999.9140625,240813,241,57,57,27,10,video_av1,simulcast,2999.9560546875
71,78000.2548828125,285632,271,57,57,35,10,video_av1,simulcast,3000.3408203125
72,81000.048828125,215332,214,42,42,24,10,video_av1,simulcast,2999.7939453125
73,3000.08984375,21415,92,29,29,0,100,video_vp9,simulcast,3000.08984375
74,5999.8232421875,26769,85,30,30,0,100,video_vp9,simulcast,2999.7333984375
75,8999.9638671875,29061,91,30,30,0,100,video_vp9,simulcast,3000.140625
76,11999.8740234375,36128,88,30,30,0,100,video_vp9,simulcast,2999.91015625
77,14999.490234375,32662,106,30,30,0,100,video_vp9,simulcast,2999.6162109375
78,17999.61328125,32043,126,30,30,0,100,video_vp9,simulcast,3000.123046875
79,20999.8623046875,31289,146,30,30,0,100,video_vp9,simulcast,3000.2490234375
80,23999.5732421875,31083,161,30,30,0,100,video_vp9,simulcast,2999.7109375
81,26999.7294921875,72558,83,30,30,0,100,video_vp9,simulcast,3000.15625
82,29999.0283203125,74455,83,30,30,0,100,video_vp9,simulcast,2999.298828125
83,32999.78125,86308,93,36,36,2,100,video_vp9,simulcast,3000.7529296875
84,35999.658203125,97440,104,37,37,3,100,video_vp9,simulcast,2999.876953125
85,38999.490234375,87556,94,36,36,0,100,video_vp9,simulcast,2999.83203125
86,41999.5556640625,104871,108,36,36,0,100,video_vp9,simulcast,3000.0654296875
87,44999.759765625,114862,115,29,29,3,100,video_vp9,simulcast,3000.2041015625
88,47999.5732421875,123555,116,25,25,1,100,video_vp9,simulcast,2999.8134765625
89,50999.7666015625,131366,128,30,30,0,100,video_vp9,simulcast,3000.193359375
90,53999.63671875,140304,138,26,26,3,100,video_vp9,simulcast,2999.8701171875
91,56999.8134765625,154307,148,26,26,0,100,video_vp9,simulcast,3000.1767578125
92,59999.5771484375,166541,160,37,37,0,100,video_vp9,simulcast,2999.763671875
93,62999.4931640625,185672,180,42,42,1,100,video_vp9,simulcast,2999.916015625
