,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
255,13954,287158,0,video_av1,svc,0,0,26830.0,26830.0,100.0,0.0,3.288294,0.57466,0.17886,0.0,17.287,2.5203729999999984,0,3.491679,126,0,126,0
Unnamed 0,18471,368034,1,video_av1,svc,0,1,28000.0,24902.43603515625,88.93727155412947,497.56396484375,25.041911,1.025537,0.345169,0.498,17.709,1.4060970000000008,0,25.399488,256,1,257,2
Unnamed 1,23897,577481,10,video_av1,simulcast,0,1,28000.0,17800.0,63.57142857142857,0.0,6.090483,0.7735989999999999,0.588969,0.0,27.715,2.452325000000003,0,6.728574,357,0,358,0
281,22798,567517,100,video_vp9,simulcast,0,1,28000.0,10750.64697265625,38.39516775948661,2849.35302734375,1.531786,0.262421,0.396849,12.211,26.128,40.32335599999999,0,1.948958,182,140,182,4
281,27435,895514,101,video_vp9,simulcast,0,2,28000.0,15800.0,56.42857142857143,0.0,10.559967,0.4722079999999999,1.401797,0.0,28.044,1.2295319999999974,0,12.052104,764,0,764,0
281,22640,951871,102,video_vp9,simulcast,1,0,28000.0,4638.0,16.564285714285713,9362.0,6.399604,1.20373,0.980713,9.362,26.924,30.42092,0,7.428440999999999,412,38,412,3
281,23899,1124703,103,video_vp9,simulcast,1,1,28000.0,217.18408203125,0.7756574358258929,11782.81591796875,5.675595,1.276208,0.886297,11.983,27.294,36.82961000000001,0,6.608149999999999,411,94,411,4
281,27498,1590361,104,video_vp9,simulcast,1,2,28000.0,5348.0,19.1,252.0,8.757068,1.720694,1.817441,6.538,27.217,13.573912999999989,0,10.636637,553,78,557,6
281,26982,1462189,105,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,10.596342,1.330601,1.604628,6.054,26.411,13.924837000000002,0,12.258936,510,67,510,4
281,27558,1578130,106,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,8.794514999999999,1.74498,0.975891,7.689,28.043,21.848445000000048,0,9.822202,495,142,498,6
