

id,timestamp,type,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V145231408,1776273267454.146,inbound-rtp,video,video,145231408,T01,0,0,1,0,0,966,0,0,0,0,0,0,60,0,0,0,0,0,1776273267447.189,0,0,0,0,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273267454.146,inbound-rtp,video,video,145231408,T01,0,0,1,0,0,966,0,0,0,0,0,0,60,0,0,0,0,0,1776273267447.189,0,0,0,0,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273267654.414,inbound-rtp,video,video,145231408,T01,0,0,6,0,0,5901,0,0,0,0,1,0,244,0.043116999999999996,1,0.011084,0.011084,1,1776273267490.3171,0,0,0,0,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273267654.414,inbound-rtp,video,video,145231408,T01,0,0,6,0,0,5901,0,0,0,0,1,0,244,0.043116999999999996,1,0.011084,0.011084,1,1776273267490.3171,0,0,0,0,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273267854.363,inbound-rtp,video,video,145231408,T01,0.014,0,12,0,0,11668,0,0,0,2,3,0,484,0.10926699999999999,2,0.022167,0.022167,1,1776273267830.021,0,0,0,1,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273267854.363,inbound-rtp,video,video,145231408,T01,0.014,0,12,0,0,11668,0,0,0,2,3,0,484,0.10926699999999999,2,0.022167,0.022167,1,1776273267830.021,0,0,0,1,0,0,0,0,0,0,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,1
IT01V145231408,1776273268054.305,inbound-rtp,video,video,145231408,T01,0.014,0,16,0,0,16047,0,1,1,2,4,0,632,0.221484,3,0.023593,0.023593,2,1776273267942.2751,0,0,0,1,0.112148,0.0038569999999999998,0,0,0,0.116226,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268054.305,inbound-rtp,video,video,145231408,T01,0.014,0,16,0,0,16047,0,1,1,2,4,0,632,0.221484,3,0.023593,0.023593,2,1776273267942.2751,0,0,0,1,0.112148,0.0038569999999999998,0,0,0,0.116226,0,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268254.402,inbound-rtp,video,video,145231408,T01,0.025,0,21,0,0,20770,0,2,2,2,5,0,812,0.29711299999999996,4,0.023593,0.023593,2,1776273268248.815,0,0,0,1,0.159989,0.0064919999999999995,0,0.227,0,0.19461399999999998,0.051529000000000005,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268254.402,inbound-rtp,video,video,145231408,T01,0.025,0,21,0,0,20770,0,2,2,2,5,0,812,0.29711299999999996,4,0.023593,0.023593,2,1776273268248.815,0,0,0,1,0.159989,0.0064919999999999995,0,0.227,0,0.19461399999999998,0.051529000000000005,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268454.306,inbound-rtp,video,video,145231408,T01,0.027,0,25,0,0,24301,0,4,4,2,7,0,956,0.459203,6,0.032004,0.032004,2,1776273268381.673,0,0,0,1,0.211726,0.010818999999999999,0,0.491,0,0.361269,0.09242700000000001,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268454.306,inbound-rtp,video,video,145231408,T01,0.027,0,25,0,0,24301,0,4,4,2,7,0,956,0.459203,6,0.032004,0.032004,2,1776273268381.673,0,0,0,1,0.211726,0.010818999999999999,0,0.491,0,0.361269,0.09242700000000001,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268654.248,inbound-rtp,video,video,145231408,T01,0.025,0,33,0,0,30427,0,4,4,3,11,0,1272,0.588811,8,0.106197,0.106197,3,1776273268650.967,0,0,0,2,0.211726,0.010818999999999999,0,0.491,0,0.361269,0.09242700000000001,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268654.248,inbound-rtp,video,video,145231408,T01,0.025,0,33,0,0,30427,0,4,4,3,11,0,1272,0.588811,8,0.106197,0.106197,3,1776273268650.967,0,0,0,2,0.211726,0.010818999999999999,0,0.491,0,0.361269,0.09242700000000001,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268854.447,inbound-rtp,video,video,145231408,T01,0.026,0,38,0,0,34785,0,5,8,3,13,0,1452,0.6925979999999999,11,0.376953,0.376953,3,1776273268831.6292,0,0,0,2,0.306886,0.018102999999999998,0,0.788,0,0.5680499999999999,0.14179,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
IT01V145231408,1776273268854.447,inbound-rtp,video,video,145231408,T01,0.026,0,38,0,0,34785,0,5,8,3,13,0,1452,0.6925979999999999,11,0.376953,0.376953,3,1776273268831.6292,0,0,0,2,0.306886,0.018102999999999998,0,0.788,0,0.5680499999999999,0.14179,7f1795bd-2fff-4cc0-828a-3df63ec9ecd2,270
