

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V414628560,1776269087313.694,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.006,0,6,0,0,6240,0,270,480,2,2,0,20,2,0,196,0.076722,2,0.022106,0.022106,1,1776269087281.28,0,0,0,0,0.06321299999999999,0.021363,0,0.084,0,0.10885399999999999,0.007056000000000001,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087313.694,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.006,0,6,0,0,6240,0,270,480,2,2,0,20,2,0,196,0.076722,2,0.022106,0.022106,1,1776269087281.28,0,0,0,0,0.06321299999999999,0.021363,0,0.084,0,0.10885399999999999,0.007056000000000001,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087513.698,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.011,0,9,0,0,8772,0,270,480,3,3,0,10,3,0,292,0.11286199999999999,3,0.0278,0.0278,1,1776269087437.362,0,0,0,0,0.099315,0.024201,0,0.225,0,0.14796499999999999,0.026936999999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087513.698,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.011,0,9,0,0,8772,0,270,480,3,3,0,10,3,0,292,0.11286199999999999,3,0.0278,0.0278,1,1776269087437.362,0,0,0,0,0.099315,0.024201,0,0.225,0,0.14796499999999999,0.026936999999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087713.738,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.015,0,13,0,0,12118,0,270,480,5,5,0,10,5,0,420,0.11630299999999999,5,0.081221,0.081221,1,1776269087678.925,0,0,0,0,0.099377,0.029271,0,0.467,0,0.156684,0.056610999999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087713.738,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.015,0,13,0,0,12118,0,270,480,5,5,0,10,5,0,420,0.11630299999999999,5,0.081221,0.081221,1,1776269087678.925,0,0,0,0,0.099377,0.029271,0,0.467,0,0.156684,0.056610999999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087913.65,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.014,0,16,0,0,14032,0,270,480,6,7,0,10,7,0,516,0.116436,7,0.12486299999999999,0.12486299999999999,1,1776269087905.063,0,0,0,0,0.099406,0.034158,0,0.693,0,0.161937,0.086757,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269087913.65,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.014,0,16,0,0,14032,0,270,480,6,7,0,10,7,0,516,0.116436,7,0.12486299999999999,0.12486299999999999,1,1776269087905.063,0,0,0,0,0.099406,0.034158,0,0.693,0,0.161937,0.086757,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269088113.653,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.01,0,24,0,0,20134,0,270,480,8,13,0,14,13,0,772,0.124427,13,0.266219,0.266219,1,1776269088106.663,0,0,0,0,0.099466,0.048783,0,0.894,0,0.185295,0.093622,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269088113.653,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.01,0,24,0,0,20134,0,270,480,8,13,0,14,13,0,772,0.124427,13,0.266219,0.266219,1,1776269088106.663,0,0,0,0,0.099466,0.048783,0,0.894,0,0.185295,0.093622,fb4cb525-3d57-41e1-bb23-5738afe02bb8
