id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1251617322,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1251617322,T01,0,0,true,0,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r0,4069863750,0,0,0
OT01V2008745402,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2008745402,T01,0,0,true,2,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4155920473,0,0,0
OT01V680731002,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,680731002,T01,0,0,true,1,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r1,328275777,0,0,0
OT01V1251617322,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1251617322,T01,0,0,true,0,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r0,4069863750,0,0,0
OT01V2008745402,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2008745402,T01,0,0,true,2,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4155920473,0,0,0
OT01V680731002,1776278284051.842,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,680731002,T01,0,0,true,1,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r1,328275777,0,0,0
OT01V1251617322,1776278284251.858,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1251617322,T01,8015,11,true,0,0,4,4,890,1,2,SV306,0,0,0,1,[object Object],bandwidth,0,0,0,r0,4069863750,0.171,0,0.111665
OT01V2008745402,1776278284251.858,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,2008745402,T01,0,1,true,2,0,0,0,283,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4155920473,0,0,0
OT01V680731002,1776278284251.858,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,680731002,T01,0,0,true,1,0,0,0,0,0,0,SV306,0,0,0,0,[object Object],bandwidth,0,0,0,r1,328275777,0,0,0
OT01V1251617322,1776278284251.858,outbound-rtp,COT01_45_level-idx=5;profile=0;tier=0,video,video,1251617322,T01,8015,11,true,0,0,4,4,890,1,2,SV306,0,0,0,1,[object Object],bandwidth,0,0,0,r0,4069863750,0.171,0,0.111665
