id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2439334836,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,0,0,true,0,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r0,1455613914,0,0,0
OT01V3623406444,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,0,true,2,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,0,0,true,0,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r0,1455613914,0,0,0
OT01V3623406444,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685376.034,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,0,true,2,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],none,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,8295,11,true,0,0,4,4,830,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.166,0,0.12110499999999999
OT01V3623406444,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,8295,11,true,0,0,4,4,830,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.166,0,0.12110499999999999
OT01V3623406444,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685575.979,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,12658,16,true,0,0,12,12,970,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.299,0,0.780677
OT01V3623406444,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,12658,16,true,0,0,12,12,970,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.299,0,0.780677
OT01V3623406444,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685776.138,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,20653,28,true,0,0,18,18,1306,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.396,0,2.166768
OT01V3623406444,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,20653,28,true,0,0,18,18,1306,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.396,0,2.166768
OT01V3623406444,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,3623406444,T01,0,0,true,1,0,0,0,0,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3272644301,0,0,0
OT01V602059872,1776278685976.21,outbound-rtp,COT01_98_profile-id=0,video,video,602059872,T01,0,1,true,2,0,0,0,283,0,0,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r2,2087925991,0,0,0
OT01V2439334836,1776278686176.134,outbound-rtp,COT01_98_profile-id=0,video,video,2439334836,T01,28634,40,true,0,0,23,23,1602,1,1,SV318,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1455613914,0.478,0,2.7879009999999997
