,timestamp,bytesSent,packetsSent,framesEncoded,framesSent,hugeFramesSent,testNum,codec,enc_type,time
0,800.1201171875,25982,34,18,18,2,0,video_av1,svc,800.1201171875
1,1799.818359375,36428,51,29,29,3,0,video_av1,svc,999.6982421875
2,2599.732421875,30118,48,26,26,0,0,video_av1,svc,799.9140625
3,3599.8193359375,26585,50,29,29,0,0,video_av1,svc,1000.0869140625
4,4399.8857421875,23642,52,22,22,0,0,video_av1,svc,800.06640625
5,5400.2236328125,27812,79,32,32,0,0,video_av1,svc,1000.337890625
6,6200.2236328125,16614,76,20,20,0,0,video_av1,svc,800.0
7,7199.9228515625,22223,102,29,29,0,0,video_av1,svc,999.69921875
8,8000.0,18492,82,26,26,0,0,video_av1,svc,800.0771484375
9,9000.0537109375,18383,116,28,28,0,0,video_av1,svc,1000.0537109375
10,9799.7314453125,16666,92,24,24,0,0,video_av1,svc,799.677734375
11,10799.74609375,26695,109,31,31,0,0,video_av1,svc,1000.0146484375
12,11600.181640625,19168,90,24,24,0,0,video_av1,svc,800.435546875
13,12600.083984375,29032,95,28,28,0,0,video_av1,svc,999.90234375
14,13399.78515625,32048,74,26,26,2,0,video_av1,svc,799.701171875
15,14399.66796875,49576,77,37,37,4,0,video_av1,svc,999.8828125
16,15199.939453125,43306,54,24,24,2,0,video_av1,svc,800.271484375
17,16199.9140625,53293,61,34,34,5,0,video_av1,svc,999.974609375
18,16999.892578125,48888,66,28,28,2,0,video_av1,svc,799.978515625
19,17999.986328125,37739,60,34,34,5,0,video_av1,svc,1000.09375
20,18799.98828125,50814,58,28,28,4,0,video_av1,svc,800.001953125
21,19799.8720703125,42188,85,34,34,4,0,video_av1,svc,999.8837890625
22,20599.96484375,47526,56,26,26,2,0,video_av1,svc,800.0927734375
23,21599.93359375,47616,91,36,36,0,0,video_av1,svc,999.96875
24,22399.767578125,33774,88,26,26,2,0,video_av1,svc,799.833984375
25,23399.9453125,46541,121,38,38,1,0,video_av1,svc,1000.177734375
26,24199.958984375,43702,92,30,30,2,0,video_av1,svc,800.013671875
27,25199.853515625,45825,109,37,37,1,0,video_av1,svc,999.89453125
28,25999.7861328125,44758,94,32,32,2,0,video_av1,svc,799.9326171875
29,27000.001953125,67044,84,31,31,2,0,video_av1,svc,1000.2158203125
30,27799.966796875,55892,70,32,32,4,0,video_av1,svc,799.96484375
31,28799.755859375,71561,88,35,35,4,0,video_av1,svc,999.7890625
32,29599.830078125,58272,70,28,28,2,0,video_av1,svc,800.07421875
33,30600.09375,73913,88,38,38,4,0,video_av1,svc,1000.263671875
34,31399.828125,63036,70,26,26,2,0,video_av1,svc,799.734375
35,32399.791015625,82463,90,39,39,7,0,video_av1,svc,999.962890625
36,33199.9990234375,58086,64,26,26,2,0,video_av1,svc,800.2080078125
37,34199.8203125,81414,91,36,36,5,0,video_av1,svc,999.8212890625
38,34999.7001953125,70940,84,32,32,2,0,video_av1,svc,799.8798828125
39,35999.8154296875,86702,98,39,39,3,0,video_av1,svc,1000.115234375
40,36799.7373046875,68132,80,34,34,2,0,video_av1,svc,799.921875
41,37799.6806640625,84374,97,41,41,1,0,video_av1,svc,999.943359375
